@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
144,'2023/04/30 03:02:15:419',1,58,110,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
145,'2023/04/30 03:02:15:435',1,58,112,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
146,'2023/04/30 03:02:15:452',1,59,111,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
147,'2023/04/30 03:02:15:469',1,57,108,163,127,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
148,'2023/04/30 03:02:15:487',1,57,111,163,127,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
149,'2023/04/30 03:02:15:502',1,57,107,163,127,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
150,'2023/04/30 03:02:15:520',1,56,106,163,127,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
151,'2023/04/30 03:02:15:535',1,58,109,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
152,'2023/04/30 03:02:15:551',1,58,107,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
153,'2023/04/30 03:02:15:570',1,60,111,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
